id,activity,api,cputime,day,filesize,language,latency,memory,platform,time
552,upload,native,0.23,6/24/16,155,python,65.00887871,19204,azure,00:00:38
553,upload,native,1.87,6/24/16,155,java,492,76804,aws,00:00:38
554,upload,multicloud,0.13,6/24/16,155,python,49.72314835,15388,azure,00:00:38
555,upload,native,0.23,6/24/16,155,python,65.15002251,19128,azure,00:00:39
556,upload,native,0.2,6/24/16,155,python,59.36598778,19184,azure,00:00:39
557,upload,multicloud,3.41,6/24/16,155,java,971,209204,aws,00:00:39
558,upload,native,1.95,6/24/16,155,java,70,59112,azure,00:00:39
559,upload,native,0.17,6/24/16,155,python,63.1082058,19140,azure,00:00:39
560,upload,native,0.21,6/24/16,155,python,76.82013512,19128,azure,00:00:40
561,upload,native,1.83,6/24/16,155,java,443,77656,aws,00:00:40
562,upload,native,0.25,6/24/16,155,python,68.9060688,19180,azure,00:00:40
563,upload,native,1.9,6/24/16,155,java,60,58656,azure,00:00:40
564,upload,native,0.24,6/24/16,155,python,67.96813011,19192,azure,00:00:40
565,upload,native,0.24,6/24/16,155,python,58.02106857,19196,azure,00:00:41
566,upload,native,1.85,6/24/16,155,java,388,75444,aws,00:00:41
567,upload,multicloud,3.41,6/24/16,155,java,820,213096,aws,00:00:41
568,upload,native,0.21,6/24/16,155,python,115.2579784,19176,azure,00:00:41
569,upload,multicloud,6.92,6/24/16,155,java,1169,110668,azure,00:00:42
570,upload,native,0.21,6/24/16,155,python,64.96620178,19144,azure,00:00:42
571,upload,native,2.02,6/24/16,155,java,77,59332,azure,00:00:42
572,upload,native,0.21,6/24/16,155,python,64.87512589,19052,azure,00:00:42
573,upload,native,1.84,6/24/16,155,java,463,72656,aws,00:00:42
574,upload,native,1.82,6/24/16,155,java,52,59316,azure,00:00:43
575,upload,multicloud,3.45,6/24/16,155,java,774,210292,aws,00:00:43
576,upload,native,1.77,6/24/16,155,java,428,77552,aws,00:00:44
577,upload,native,1.84,6/24/16,155,java,84,58676,azure,00:00:44
578,upload,native,1.8,6/24/16,155,java,479,72828,aws,00:00:45
579,upload,native,1.83,6/24/16,155,java,70,59284,azure,00:00:46
580,upload,multicloud,3.33,6/24/16,155,java,860,205376,aws,00:00:46
581,upload,multicloud,7.16,6/24/16,155,java,1200,110176,azure,00:00:46
582,upload,native,1.86,6/24/16,155,java,506,76064,aws,00:00:46
583,upload,native,1.79,6/24/16,155,java,75,58512,azure,00:00:47
584,upload,native,1.85,6/24/16,155,java,441,75628,aws,00:00:47
585,upload,multicloud,3.5,6/24/16,155,java,871,213496,aws,00:00:48
586,upload,native,1.72,6/24/16,155,java,67,59064,azure,00:00:48
